threshold,accuracy,recall,precision,f1,specificity,fpr,model
0.1,0.2212,1,0.2212,0.3622,0,1,XGBoost
0.25,0.2212,1,0.2212,0.3622,0,1,XGBoost
0.4,0.2212,1,0.2212,0.3622,0,1,XGBoost
0.5499999999999999,0.7788,0,NA,NA,1,0,XGBoost
0.7,0.7788,0,NA,NA,1,0,XGBoost
0.85,0.7788,0,NA,NA,1,0,XGBoost
