Feature,VIF
LIMIT_BAL,1.23
BILL_AMT1,1.14
PAY_AMT1,1.14
PAY_AMT2,1.13
PAY_AMT6,1.12
PAY_AMT3,1.11
PAY_AMT4,1.1
PAY_AMT5,1.1
AGE,1.02
